M1,M2,G1,G2
17.5,60.0,15.342,-4.009
17.5,62.5,15.080,-4.420
17.5,65.0,14.805,-4.853
17.5,67.5,14.518,-5.306
17.5,70.0,14.220,-5.780
17.5,72.5,13.909,-6.273
17.5,75.0,13.587,-6.786
17.5,77.5,13.255,-7.318
17.5,80.0,12.912,-7.867
17.5,82.5,12.559,-8.434
17.5,85.0,12.197,-9.016
17.5,87.5,11.827,-9.614
17.5,90.0,11.448,-10.226
17.5,92.5,11.063,-10.850
17.5,95.0,10.671,-11.486
17.5,97.5,10.273,-12.132
17.5,100.0,9.870,-12.787
17.5,102.5,9.462,-13.450
17.5,105.0,9.051,-14.119
17.5,107.5,8.637,-14.793
17.5,110.0,8.221,-15.470
17.5,112.5,7.803,-16.149
17.5,115.0,7.385,-16.828
17.5,117.5,6.966,-17.507
17.5,120.0,6.548,-18.183
17.5,122.5,6.132,-18.856
17.5,125.0,5.718,-19.522
17.5,127.5,5.307,-20.183
17.5,130.0,4.900,-20.834
17.5,132.5,4.498,-21.476
17.5,135.0,4.101,-22.106
17.5,137.5,3.711,-22.724
17.5,140.0,3.329,-23.326
17.5,142.5,2.955,-23.913
17.5,145.0,2.591,-24.482
17.5,147.5,2.237,-25.031
17.5,150.0,1.895,-25.559
17.5,152.5,1.567,-26.064
17.5,155.0,1.253,-26.545
17.5,157.5,0.954,-27.000
17.5,160.0,0.673,-27.426
20.0,0.0,18.065,0.399
20.0,2.5,18.062,0.395
20.0,5.0,18.051,0.379
20.0,7.5,18.032,0.350
20.0,10.0,18.005,0.307
20.0,12.5,17.968,0.251
20.0,15.0,17.923,0.182
20.0,17.5,17.868,0.098
20.0,20.0,17.804,0.000
20.0,22.5,17.730,-0.113
20.0,25.0,17.647,-0.241
20.0,27.5,17.553,-0.386
20.0,30.0,17.449,-0.546
20.0,32.5,17.334,-0.723
20.0,35.0,17.208,-0.918
20.0,37.5,17.071,-1.131
20.0,40.0,16.922,-1.362
20.0,42.5,16.761,-1.611
20.0,45.0,16.588,-1.881
20.0,47.5,16.403,-2.170
20.0,50.0,16.205,-2.479
20.0,52.5,15.995,-2.808
20.0,55.0,15.772,-3.159
20.0,57.5,15.536,-3.530
20.0,60.0,15.288,-3.922
20.0,62.5,15.027,-4.336
20.0,65.0,14.753,-4.770
20.0,67.5,14.467,-5.225
20.0,70.0,14.169,-5.701
20.0,72.5,13.860,-6.196
20.0,75.0,13.539,-6.711
20.0,77.5,13.207,-7.245
20.0,80.0,12.866,-7.796
20.0,82.5,12.514,-8.365
20.0,85.0,12.153,-8.950
20.0,87.5,11.784,-9.550
20.0,90.0,11.407,-10.164
20.0,92.5,11.023,-10.791
20.0,95.0,10.632,-11.430
